name,description,price,originalPrice,quantityAvailable,category,subCategory,images,sellerEmail,location,productType,tags,inStock,featured,isNewProduct,discount
Handwoven Bamboo Basket,Intricately handwoven bamboo basket crafted by tribal artisans. Perfect for storage and home decor. Each piece is unique with natural bamboo patterns.,899,1199,15,Home & Living,Home Decor,bamboo_basket1.jpg|bamboo_basket2.jpg,shanti.kumari@lokrise.in,Agartala,physical,bamboo|handcrafted|sustainable|eco-friendly|basket,true,true,true,25
Woven Bamboo Storage Box,Multipurpose bamboo storage box with lid made using traditional weaving techniques by skilled tribal craftsmen. Perfect for organizing small items.,749,999,20,Home & Living,Storage Solutions,bamboo_box1.jpg|bamboo_box2.jpg,shanti.kumari@lokrise.in,Agartala,physical,bamboo|storage|handwoven|sustainable|gift,true,false,true,25
Bamboo Fruit Basket Set,Set of 3 decorative bamboo baskets in different sizes perfect for fruits and vegetables. Made by artisans from northeastern India using sustainable bamboo.,1299,1699,12,Home & Living,Kitchen & Dining,bamboo_fruit_basket1.jpg|bamboo_fruit_basket2.jpg,shanti.kumari@lokrise.in,Agartala,physical,bamboo|kitchen|sustainable|basket|fruit,true,true,false,24
Bamboo Wall Hanging Planter,Beautiful hand-crafted bamboo wall hanging planter perfect for indoor plants and home decoration. Each piece is made by skilled tribal artisans from Tripura.,599,799,25,Home & Living,Garden & Outdoor,bamboo_planter1.jpg|bamboo_planter2.jpg,shanti.kumari@lokrise.in,Agartala,physical,bamboo|planter|eco-friendly|gardening|wall-decor,true,false,true,25
Bamboo Cutlery Set,Eco-friendly bamboo cutlery set including knife, fork, spoon, and chopsticks in a handcrafted carrying pouch. Perfect alternative to plastic cutlery.,499,699,30,Home & Living,Kitchen & Dining,bamboo_cutlery1.jpg|bamboo_cutlery2.jpg,shanti.kumari@lokrise.in,Agartala,physical,bamboo|cutlery|sustainable|eco-friendly|zero-waste,true,true,true,29
Organic Wildflower Honey,Pure organic wildflower honey collected from the pristine valleys of Himachal Pradesh. Raw and unprocessed with natural antioxidants and medicinal properties.,499,599,25,Food & Beverages,Honey & Preserves,wildflower_honey1.jpg|wildflower_honey2.jpg,gopal.singh@lokrise.in,Shimla,physical,honey|organic|natural|wildflower|himalayan,true,true,true,17
Himalayan Pine Forest Honey,Special honey collected from pine forests of the Himalayas. Has a distinct flavor with medicinal properties. Stone-ground and natural without additives.,549,649,20,Food & Beverages,Honey & Preserves,pine_honey1.jpg|pine_honey2.jpg,gopal.singh@lokrise.in,Shimla,physical,honey|pine|himalayan|medicinal|forest,true,false,false,15
Organic Wildflower Honey Gift Pack,Special gift pack containing three varieties of pure Himalayan wildflower honey in small bottles. Perfect for gifting or sampling different honey flavors.,999,1199,15,Food & Beverages,Gift Packs,honey_gift_pack1.jpg|honey_gift_pack2.jpg,gopal.singh@lokrise.in,Shimla,physical,honey|gift|organic|sampler|premium,true,true,true,17
Multifloral Raw Honey,Raw multifloral honey collected from diverse wildflower sources in Himalayan foothills. Unfiltered and packed with natural enzymes and pollen.,399,479,30,Food & Beverages,Honey & Preserves,multifloral_honey1.jpg|multifloral_honey2.jpg,gopal.singh@lokrise.in,Shimla,physical,honey|raw|multiflora|natural|unprocessed,true,false,false,17
Himalayan Litchi Honey,Special seasonal honey collected during litchi flowering season in Himalayan foothills. Distinct fruity flavor with natural antioxidants.,579,679,18,Food & Beverages,Honey & Preserves,litchi_honey1.jpg|litchi_honey2.jpg,gopal.singh@lokrise.in,Shimla,physical,honey|litchi|seasonal|premium|gourmet,true,true,true,15
Terracotta Spice Jar Set,Handcrafted terracotta spice jar set with wooden lids. Set of 5 jars perfect for storing spices while maintaining their aroma and freshness. Made by skilled potters using traditional techniques.,1299,1699,15,Home & Living,Kitchen & Dining,terracotta_spice1.jpg|terracotta_spice2.jpg,krishna.jadhav@lokrise.in,Khurja,physical,terracotta|spice-jar|kitchen|handcrafted|pottery,true,true,true,24
Terracotta Oil Diffuser Set,Traditional hand-painted terracotta oil diffuser with 2 essential oils. Eco-friendly home fragrance solution made by skilled artisans from UP.,699,899,20,Home & Living,Home Decor,terracotta_diffuser1.jpg|terracotta_diffuser2.jpg,krishna.jadhav@lokrise.in,Khurja,physical,terracotta|diffuser|aroma|handpainted|eco-friendly,true,false,true,22
Terracotta Garden Planter,Large handcrafted terracotta planter with traditional relief work. Perfect for garden plants with natural cooling properties beneficial for plant roots.,1499,1899,12,Home & Living,Garden & Outdoor,terracotta_planter1.jpg|terracotta_planter2.jpg,krishna.jadhav@lokrise.in,Khurja,physical,terracotta|planter|garden|handcrafted|traditional,true,true,false,21
Terracotta Wind Chimes,Beautifully crafted terracotta wind chimes with hand-painted elements. Creates a soothing natural sound when breeze passes through.,499,649,25,Home & Living,Home Decor,terracotta_chimes1.jpg|terracotta_chimes2.jpg,krishna.jadhav@lokrise.in,Khurja,physical,terracotta|wind-chimes|garden|patio|handpainted,true,false,true,23
